Assay,Status,Best_r
CHEMBL1963723_activities,Success,0.9194136078355688
CHEMBL1963814_activities,Success,0.9098749699839687
CHEMBL1963722_activities,Success,0.8343384009954438
CHEMBL2354301_activities,Success,0.8289065326884536
CHEMBL1613983_activities,Success,0.8219235385054154
CHEMBL1964107_activities,Success,0.8101246245264921
CHEMBL1963888_activities,Success,0.8013185303643321
CHEMBL1963788_activities,Success,0.7993618910165861
CHEMBL4296190_activities,Success,0.7936368197791169
CHEMBL1794496_activities,Success,0.7898344524576763
CHEMBL1963790_activities,Success,0.7869089934306245
CHEMBL1963727_activities,Success,0.7762505134056501
CHEMBL4296185_activities,Success,0.776001400634261
CHEMBL1963835_activities,Success,0.7759648784661017
CHEMBL1738500_activities,Success,0.7648332071105357
CHEMBL1613886_activities,Success,0.7628986465082513
CHEMBL1614183_activities,Success,0.7626009366980779
CHEMBL1963807_activities,Success,0.7538146016269988
CHEMBL1614481_activities,Success,0.7522640290790522
CHEMBL1964119_activities,Success,0.7517484058992171
